"Hour","Order name","Orders","Total sales","Net sales","Quantity ordered"
"2026-08-27 09:00:00","#2143105",1,1848,1760,3
"2026-08-27 09:00:00","#2142976",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143042",1,1898,1807.62,4
"2026-08-27 09:00:00","#2143072",1,1617,1427.62,2
"2026-08-27 09:00:00","#2143095",1,2916,2664.76,4
"2026-08-27 09:00:00","#2143083",1,1499,1427.62,1
"2026-08-27 09:00:00","#2143064",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143054",1,2069,1970.48,2
"2026-08-27 09:00:00","#2143001",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143031",1,3108,2960,4
"2026-08-27 09:00:00","#2142980",1,1831,1743.81,3
"2026-08-27 09:00:00","#2142979",1,1602,1413.33,1
"2026-08-27 09:00:00","#2143102",1,1499,1427.62,2
"2026-08-27 09:00:00","#2142971",1,1717,1522.86,1
"2026-08-27 09:00:00","#2143027",1,1499,1427.62,2
"2026-08-27 09:00:00","#2142996",1,845,804.76,1
"2026-08-27 09:00:00","#2143017",1,1599,1522.86,1
"2026-08-27 09:00:00","#2143009",1,3116,2855.24,6
"2026-08-27 09:00:00","#2142988",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143039",1,2490,2371.43,4
"2026-08-27 09:00:00","#2143092",1,1979,1772.38,2
"2026-08-27 09:00:00","#2143075",1,1617,1427.62,2
"2026-08-27 09:00:00","#2143045",1,2832,2697.14,4
"2026-08-27 09:00:00","#2143053",1,1435,1366.66,1
"2026-08-27 09:00:00","#2143063",1,1699,1618.1,2
"2026-08-27 09:00:00","#2143084",1,2349,2237.14,2
"2026-08-27 09:00:00","#2143004",1,2248,2140.95,3
"2026-08-27 09:00:00","#2142985",1,1549,1475.24,1
"2026-08-27 09:00:00","#2143034",1,1917,1713.33,1
"2026-08-27 09:00:00","#2142993",1,1599,1522.86,1
"2026-08-27 09:00:00","#2143022",1,2069,1970.48,2
"2026-08-27 09:00:00","#2143012",1,1499,1427.62,2
"2026-08-27 09:00:00","#2142974",1,3098,2950.48,4
"2026-08-27 09:00:00","#2143070",1,1617,1427.62,2
"2026-08-27 09:00:00","#2143040",1,1399,1332.38,1
"2026-08-27 09:00:00","#2143089",1,1637,1441.05,1
"2026-08-27 09:00:00","#2143097",1,2187,1970.48,2
"2026-08-27 09:00:00","#2143081",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143056",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143066",1,3116,2855.24,5
"2026-08-27 09:00:00","#2143078",1,1948,1855.24,3
"2026-08-27 09:00:00","#2143048",1,1817,1618.1,1
"2026-08-27 09:00:00","#2142982",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143033",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143003",1,1499,1427.62,2
"2026-08-27 09:00:00","#2142973",1,1599,1522.86,1
"2026-08-27 09:00:00","#2143100",1,1599,1522.86,1
"2026-08-27 09:00:00","#2143015",1,1848,1760,4
"2026-08-27 09:00:00","#2142994",1,1738,1655.24,2
"2026-08-27 09:00:00","#2143025",1,1699,1618.1,2
"2026-08-27 09:00:00","#2143090",1,1649,1570.48,1
"2026-08-27 09:00:00","#2143047",1,1702,1508.57,1
"2026-08-27 09:00:00","#2143077",1,1256,1196.19,1
"2026-08-27 09:00:00","#2143069",1,1699,1618.1,2
"2026-08-27 09:00:00","#2143059",1,3248,3093.33,4
"2026-08-27 09:00:00","#2143061",1,1897,1806.67,5
"2026-08-27 09:00:00","#2143051",1,1599,1522.86,1
"2026-08-27 09:00:00","#2143098",1,3848,3664.76,6
"2026-08-27 09:00:00","#2143086",1,1699,1618.1,1
"2026-08-27 09:00:00","#2143002",1,1499,1427.62,1
"2026-08-27 09:00:00","#2143032",1,1557.1,1370.58,1
"2026-08-27 09:00:00","#2142983",1,1499,1427.62,2
"2026-08-27 09:00:00","#2142972",1,1399,1332.38,1
"2026-08-27 09:00:00","#2143101",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143024",1,1499,1427.62,2
"2026-08-27 09:00:00","#2142995",1,1257,1197.14,1
"2026-08-27 09:00:00","#2143014",1,1898,1807.62,4
"2026-08-27 09:00:00","#2143091",1,1499,1427.62,1
"2026-08-27 09:00:00","#2143076",1,3098,2950.48,4
"2026-08-27 09:00:00","#2143046",1,1898,1807.62,4
"2026-08-27 09:00:00","#2143058",1,1617,1427.62,2
"2026-08-27 09:00:00","#2143068",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143050",1,1998,1902.86,4
"2026-08-27 09:00:00","#2143060",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143099",1,1079,1027.62,1
"2026-08-27 09:00:00","#2143087",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143035",1,1599,1522.86,1
"2026-08-27 09:00:00","#2142984",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143005",1,1499,1427.62,1
"2026-08-27 09:00:00","#2143013",1,3897,3711.43,8
"2026-08-27 09:00:00","#2143023",1,1499,1427.62,2
"2026-08-27 09:00:00","#2142992",1,1699,1618.1,2
"2026-08-27 09:00:00","#2142975",1,1617,1427.62,2
"2026-08-27 09:00:00","#2143106",1,3091,2831.42,5
"2026-08-27 09:00:00","#2143041",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143071",1,1699,1618.1,2
"2026-08-27 09:00:00","#2143088",1,2699,2570.48,3
"2026-08-27 09:00:00","#2143096",1,1648,1569.52,2
"2026-08-27 09:00:00","#2143080",1,1699,1618.1,2
"2026-08-27 09:00:00","#2143067",1,1998,1902.86,4
"2026-08-27 09:00:00","#2143057",1,1399,1332.38,1
"2026-08-27 09:00:00","#2143049",1,2069,1970.48,2
"2026-08-27 09:00:00","#2143079",1,599,570.48,1
"2026-08-27 10:00:00","#2143165",1,1848,1760,4
"2026-08-27 10:00:00","#2143155",1,1499,1427.62,2
"2026-08-27 10:00:00","#2143182",1,1499,1427.62,2
"2026-08-27 10:00:00","#2143194",1,1399,1332.38,1
